"","Account_Length","Intl_Plan","D_VMail_Plan","VMail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Call","Churn","CustServ_Call2","Total_Min","Intl_Min_Prop","Day_Min_Prop","Night_Min_Prop","Intl_Plan2"
"45",64,"no",0,0,154,67,225.8,118,265.3,86,3.5,3,1,0,1,645.1,0.0054255154,0.2387226787,0.4112540691,0
"46",59,"no",1,28,120.9,97,213,92,163.1,116,8.5,5,2,0,2,497,0.0171026157,0.2432595573,0.3281690141,0
"47",65,"no",0,0,211.3,120,162.6,122,134.7,118,13.2,5,3,0,3,508.6,0.0259535981,0.415454188,0.2648446716,0
"48",142,"no",0,0,187,133,134.6,74,242.2,127,7.4,5,2,0,2,563.8,0.0131252217,0.3316779,0.4295849592,0
"49",119,"no",0,0,159.1,114,231.3,117,143.2,91,8.8,3,5,1,5,533.6,0.0164917541,0.2981634183,0.2683658171,0
"50",97,"no",1,24,133.2,135,217.2,58,70.6,79,11,3,1,0,1,421,0.026128266,0.3163895487,0.167695962,0
"51",52,"no",0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,0,3,698.5,0.011166786,0.2747315676,0.3390121689,0
"52",60,"no",0,0,220.6,57,211.1,115,249,129,6.8,3,1,0,1,680.7,0.0099897165,0.3240781548,0.3657999119,0
"53",10,"no",0,0,186.1,112,190.2,66,282.8,57,11.4,6,2,0,2,659.1,0.0172963132,0.2823547261,0.4290699439,0
"54",96,"no",0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,0,2,656.2,0.0141725084,0.2441328863,0.348217007,0
"55",87,"no",0,0,151,83,219.7,116,203.9,127,9.7,3,5,1,5,574.6,0.0168813087,0.2627915071,0.3548555517,0
"56",81,"no",0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,0,1,695,0.014676259,0.2525179856,0.3887769784,0
"57",141,"no",0,0,126.9,98,180,62,140.8,128,8,2,1,0,1,447.7,0.0178691088,0.283448738,0.3144963145,0
"58",121,"no",1,30,198.4,129,75.3,77,181.2,77,5.8,3,3,1,3,454.9,0.012750055,0.4361398109,0.3983293031,0
"59",68,"no",0,0,148.8,70,246.5,164,129.8,103,12.1,3,3,0,3,525.1,0.0230432299,0.2833745953,0.2471910112,0
"60",125,"no",0,0,229.3,103,177.4,126,189.3,95,12,8,1,0,1,596,0.0201342282,0.3847315436,0.3176174497,0
"61",174,"no",0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,0,1,528.6,0.0215664018,0.3634127885,0.3151721529,0
"62",116,"no",1,34,268.6,83,178.2,142,166.3,106,11.6,3,2,0,2,613.1,0.0189202414,0.4381014516,0.2712444952,0
"63",74,"no",1,33,193.7,91,246.1,96,138,92,14.6,3,2,0,2,577.8,0.0252682589,0.3352371063,0.2388369678,0
"64",149,"no",1,28,180.7,92,187.8,64,265.5,53,12.6,3,3,0,3,634,0.019873817,0.2850157729,0.4187697161,0
"65",38,"no",0,0,131.2,98,162.9,97,159,106,8.2,6,2,0,2,453.1,0.0180975502,0.2895608034,0.3509159126,0
"66",40,"no",1,41,148.1,74,169.5,88,214.1,102,6.2,5,2,0,2,531.7,0.0116607109,0.2785405304,0.402670679,0
"67",43,"yes",0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,0,0,622.1,0.0149493651,0.4042758399,0.2536569683,1
"68",113,"yes",0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,0,0,460.9,0.0180082447,0.2716424387,0.2805380777,1
"69",126,"no",0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,0,1,582,0.0134020619,0.3635738832,0.2637457045,0
"70",150,"no",0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,1,4,496.6,0.027788965,0.3602496979,0.2992347966,0
"71",138,"no",0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,0,3,707.6,0.0166760882,0.341718485,0.417326173,0
"72",162,"no",1,46,224.9,97,188.2,84,254.6,61,12.1,2,0,0,0,667.7,0.018121911,0.3368279167,0.3813089711,0
"73",147,"no",0,0,248.6,83,148.9,85,172.5,109,8,4,3,0,3,570,0.0140350877,0.4361403509,0.3026315789,0
"74",90,"no",0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,0,1,582.5,0.0125321888,0.3491845494,0.2616309013,0
"75",85,"no",0,0,235.8,109,157.2,94,188.2,99,12,3,0,0,0,581.2,0.0206469374,0.4057123193,0.3238128011,0
"76",50,"no",0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,0,1,561.8,0.0108579566,0.2796368815,0.3228907084,0
"77",82,"no",0,0,300.3,109,181,100,270.1,73,11.7,4,0,1,0,751.4,0.0155709343,0.3996539792,0.359462337,0
"78",144,"no",0,0,61.6,117,77.1,85,173,99,8.2,7,4,1,4,311.7,0.0263073468,0.1976259224,0.5550208534,0
"79",46,"no",0,0,214.1,72,164.4,104,177.5,113,8.2,3,2,0,2,556,0.0147482014,0.3850719424,0.3192446043,0
"80",70,"no",0,0,170.2,98,155.2,102,228.6,76,15,2,1,0,1,554,0.0270758123,0.3072202166,0.4126353791,0
"81",144,"no",0,0,201.1,99,303.5,74,224,119,13.2,2,1,0,1,728.6,0.0181169366,0.276008784,0.307438924,0
"82",116,"yes",0,0,215.4,104,204.8,79,278.5,109,12.6,5,3,0,3,698.7,0.0180334908,0.3082868184,0.3985973952,1
"83",55,"no",1,25,165.6,123,136.1,95,175.7,90,11,2,3,0,3,477.4,0.0230414747,0.3468789275,0.3680351906,0
"84",70,"no",1,24,249.5,101,259.7,98,222.7,68,9.8,4,1,0,1,731.9,0.0133898074,0.3408935647,0.3042765405,0
"85",106,"no",0,0,210.6,96,249.2,85,191.4,88,12.4,1,2,1,2,651.2,0.019041769,0.3234029484,0.2939189189,0
"86",128,"no",1,29,179.3,104,225.9,86,323,78,8.6,7,0,0,0,728.2,0.0118099423,0.246223565,0.4435594617,0
"87",94,"no",0,0,157.9,105,155,101,189.6,84,8,5,4,1,4,502.5,0.015920398,0.3142288557,0.3773134328,0
"88",111,"no",0,0,214.3,118,208.5,76,182.4,98,12,2,1,0,1,605.2,0.019828156,0.3540978189,0.3013879709,0
"89",74,"no",1,35,154.1,104,123.4,84,202.1,57,10.9,9,2,0,2,479.6,0.0227272727,0.3213094245,0.4213928274,0
"90",128,"no",0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,1,1,694.4,0.0200172811,0.3425979263,0.3008352535,0
"91",82,"no",0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,0,1,448.4,0.0247546833,0.3209188225,0.2444246209,0
"92",155,"no",0,0,203.4,100,190.9,104,196,119,8.9,4,0,1,0,590.3,0.0150770795,0.3445705573,0.3320345587,0
"93",80,"no",0,0,124.3,100,173,107,253.2,62,7.9,9,1,0,1,550.5,0.0143505904,0.2257947321,0.4599455041,0
"94",78,"no",0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,0,3,695.2,0.0136651323,0.3637802071,0.3796029919,0
"95",90,"no",0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,0,3,497.4,0.0213108162,0.3600723764,0.2567350221,0
"96",104,"no",0,0,278.4,106,81,113,163.2,137,9.8,5,1,0,1,522.6,0.0187523919,0.5327210103,0.3122847302,0
"97",73,"no",0,0,160.1,110,213.3,72,174.1,72,13,4,0,0,0,547.5,0.0237442922,0.2924200913,0.3179908676,0
"98",99,"no",0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,0,4,596.4,0.0145875252,0.3323272971,0.3200871898,0
"99",120,"no",0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,1,1,588.7,0.0090028877,0.3602853746,0.2840156277,0
"100",77,"no",0,0,251.8,72,205.7,126,275.2,109,9.8,7,2,1,2,732.7,0.0133751877,0.343660434,0.3755971066,0
"101",98,"no",1,21,161.2,114,252.2,83,160.2,92,4.4,8,4,0,4,573.6,0.0076708508,0.2810320781,0.2792887029,0
"102",108,"no",0,0,178.3,137,189,76,129.1,102,14.6,5,0,0,0,496.4,0.0294117647,0.3591861402,0.2600725222,0
"103",135,"no",0,0,151.7,82,119,105,180,100,10.5,6,0,0,0,450.7,0.0232970934,0.3365875305,0.3993787442,0
"104",95,"no",0,0,135,99,183.6,106,245.3,102,12.5,9,1,0,1,563.9,0.0221670509,0.2394041497,0.4350062068,0
"105",122,"no",0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,0,1,592.8,0.0190620783,0.2876180837,0.419365722,0
"106",95,"no",0,0,238.1,65,187.2,98,190,115,11.8,4,4,0,4,615.3,0.0191776369,0.3869657078,0.308792459,0
"107",36,"no",1,29,281.4,102,202.2,76,187.2,113,9,6,2,0,2,670.8,0.0134168157,0.4194991055,0.2790697674,0
"108",93,"no",1,21,117.9,131,164.5,115,217,86,9.8,3,1,0,1,499.4,0.0196235483,0.2360833,0.4345214257,0
"109",141,"no",1,32,148.6,91,131.1,97,219.4,142,10.1,1,1,0,1,499.1,0.0202364256,0.2977359247,0.4395912643,0
"110",157,"no",0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,0,3,619.1,0.0155063802,0.3711839767,0.3899208529,0
"111",120,"no",0,0,165,100,317.2,83,119.2,86,8.3,8,1,0,1,601.4,0.0138011307,0.2743598271,0.1982041902,0
"112",103,"no",0,0,185,117,223.3,94,222.8,91,12.6,2,2,0,2,631.1,0.0199651402,0.2931389637,0.3530343844,0
"113",98,"no",0,0,161,117,190.9,113,227.7,113,12.1,4,4,0,4,579.6,0.0208764665,0.2777777778,0.3928571429,0
"114",125,"no",0,0,126.7,108,206,90,247.8,114,13.3,7,1,0,1,580.5,0.0229112834,0.2182601206,0.426873385,0
"115",63,"no",0,0,58.9,125,169.6,59,211.4,88,9.4,3,1,0,1,439.9,0.0213684928,0.1338940668,0.4805637645,0
"116",36,"yes",1,42,196.8,89,254.9,122,138.3,126,20,6,0,1,0,590,0.0338983051,0.333559322,0.2344067797,1
"117",64,"no",0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,0,1,372.4,0.0381310419,0.4366272825,0.1544038668,0
"118",74,"no",0,0,282.5,114,219.9,48,170,115,9.4,4,1,1,1,672.4,0.0139797739,0.4201368233,0.252825699,0
"119",112,"no",1,36,113.7,117,157.5,82,177.6,118,10,3,2,0,2,448.8,0.0222816399,0.253342246,0.3957219251,0
"120",97,"no",0,0,239.8,125,214.8,111,143.3,81,8.7,5,2,0,2,597.9,0.0145509282,0.4010704131,0.239672186,0
"121",46,"no",0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,0,1,637.6,0.0205457967,0.3296737767,0.3138331242,0
"122",41,"no",1,22,213.8,102,141.8,86,142.2,123,7.2,3,0,0,0,497.8,0.01446364,0.4294897549,0.2856568903,0
"123",121,"no",0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,0,3,595,0.0164705882,0.3205042017,0.371092437,0
"124",193,"no",0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,0,1,416.1,0.027877914,0.4107185773,0.2713290075,0
"125",130,"no",0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,0,2,491.8,0.0187067914,0.3135420903,0.4623830826,0
"126",85,"no",0,0,201.4,52,229.4,104,252.5,106,12,3,1,0,1,683.3,0.0175618323,0.2947460852,0.369530221,0
"127",162,"no",0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,1,4,383,0.0237597911,0.1845953003,0.4041775457,0
"128",61,"no",1,27,187.5,124,146.6,103,225.7,129,6.4,6,4,1,4,559.8,0.0114326545,0.3349410504,0.403179707,0
"129",92,"no",0,0,91.7,90,193.7,123,175,86,9.2,4,2,0,2,460.4,0.0199826238,0.1991746308,0.3801042572,0
"130",131,"no",1,36,214.2,115,161.7,117,264.7,102,9.5,4,3,0,3,640.6,0.014829847,0.3343740244,0.413206369,0
"131",90,"no",0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,0,3,510.1,0.0213683591,0.2852381886,0.2879827485,0
"132",75,"no",0,0,166.3,125,158.2,86,256.7,80,6.1,5,1,0,1,581.2,0.0104955265,0.2861321404,0.4416724019,0
"133",78,"no",0,0,231,115,230.4,140,261.4,120,9.5,3,1,0,1,722.8,0.0131433315,0.3195904815,0.3616491422,0
"134",82,"no",0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,0,4,607.6,0.0116853193,0.3296576695,0.3392034233,0
"135",163,"no",0,0,197,109,202.6,128,206.4,80,9.1,10,1,0,1,606,0.0150165017,0.3250825083,0.3405940594,0
"136",91,"yes",0,0,129.9,112,173.3,83,247.2,130,11.2,3,3,0,3,550.4,0.0203488372,0.2360101744,0.449127907,1
"137",75,"no",1,21,175.8,97,217.5,106,237.5,134,5.3,4,5,0,5,630.8,0.0084020292,0.2786937223,0.3765060241,0
"138",91,"no",0,0,203.1,106,210.1,113,195.6,129,12,3,3,0,3,608.8,0.0197109067,0.3336070959,0.3212877792,0
"139",127,"no",1,36,183.2,117,126.8,76,263.3,71,11.2,8,1,0,1,573.3,0.0195360195,0.3195534624,0.4592708878,0
"140",113,"no",1,23,205,101,152,60,158.6,59,10.2,5,2,0,2,515.6,0.0197827773,0.3975950349,0.3076027929,0
"141",110,"no",0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,0,1,618.5,0.0200485044,0.2400970089,0.3130153597,0
"142",120,"no",1,39,200.3,68,220.4,97,253.8,116,10.5,4,0,0,0,674.5,0.0155670867,0.2969607116,0.376278725,0
"143",157,"no",1,28,192.6,107,195.5,74,109.7,139,6.8,5,3,0,3,497.8,0.0136601045,0.3869023704,0.2203696264,0
"144",103,"no",0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,0,1,642.5,0.0182101167,0.3836575875,0.3120622568,0
"145",117,"yes",0,0,167.1,86,177.5,87,249.4,132,14.1,7,2,1,2,594,0.0237373737,0.2813131313,0.4198653199,1
"146",140,"no",0,0,231.9,101,160.1,94,110.4,98,14.3,6,3,0,3,502.4,0.0284633758,0.4615843949,0.2197452229,0
"147",127,"no",0,0,146.7,91,203.5,78,203.4,110,13.7,3,1,0,1,553.6,0.0247471098,0.2649927746,0.3674132948,0
"148",83,"yes",0,0,271.5,87,216.3,126,121.1,105,11.7,4,1,0,1,608.9,0.0192149778,0.445886024,0.1988832321,1
"149",121,"no",0,0,181.5,121,218.4,98,161.6,103,8.5,5,1,0,1,561.5,0.0151380232,0.3232413179,0.2878005343,0
"150",145,"no",1,43,257.7,97,162.1,95,286.9,86,11.1,4,2,0,2,706.7,0.0157068063,0.3646526107,0.4059714164,0
"151",113,"no",0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,0,1,587.5,0.0180425532,0.3298723404,0.2932765957,0
"152",117,"no",0,0,102.8,119,206.7,91,299,105,10.1,7,1,0,1,608.5,0.0165981923,0.1689400164,0.4913722268,0
"153",65,"no",0,0,187.9,116,157.6,117,227.3,86,7.5,6,1,0,1,572.8,0.0130935754,0.3280377095,0.3968226257,0
"154",56,"no",0,0,226,112,248.5,118,140.5,142,6.9,11,1,0,1,615,0.0112195122,0.3674796748,0.2284552846,0
"155",96,"no",0,0,260.4,115,146,46,269.5,87,11.5,4,5,0,5,675.9,0.0170143512,0.3852640923,0.3987276224,0
"156",151,"no",0,0,178.7,116,292.1,138,265.9,101,9.8,4,0,0,0,736.7,0.0133025655,0.2425682096,0.3609338944,0
"157",83,"no",0,0,337.4,120,227.4,116,153.9,114,15.8,7,0,1,0,718.7,0.021984138,0.469458745,0.2141366356,0
"158",139,"no",1,23,157.6,129,247,96,259.2,112,13.7,2,0,0,0,663.8,0.0206387466,0.2374209099,0.39047906,0
"159",6,"no",0,0,183.6,117,256.7,72,178.6,79,10.2,2,1,0,1,618.9,0.0164808531,0.2966553563,0.2885765067,0
"160",115,"no",1,24,142.1,124,183.4,129,164.8,114,9.6,4,1,0,1,490.3,0.0195798491,0.2898225576,0.3361207424,0
"161",87,"no",0,0,136.3,97,172.2,108,137.5,101,7.1,5,0,0,0,446,0.0159192825,0.3056053812,0.3082959641,0
"162",141,"no",0,0,217.1,110,241.5,111,253.5,103,12,6,0,0,0,712.1,0.0168515658,0.3048729111,0.3559893273,0
"163",141,"no",1,36,187.5,99,241.4,116,229.5,105,10.5,5,3,0,3,658.4,0.0159477521,0.284781288,0.3485722965,0
"164",62,"no",0,0,98.9,103,135.4,122,236.6,82,12.2,1,1,0,1,470.9,0.0259078361,0.2100233595,0.5024421321,0
"165",146,"no",0,0,206.3,151,148.6,89,167.2,91,6.1,3,1,0,1,522.1,0.0116835855,0.3951350316,0.3202451638,0
"166",92,"no",1,33,243.1,92,213.8,92,228.7,104,12.1,2,2,0,2,685.6,0.0176487748,0.35457993,0.3335764294,0
"167",185,"no",1,31,189.8,126,163.3,133,264.8,126,7.5,3,1,0,1,617.9,0.0121378864,0.3071694449,0.4285483088,0
"168",148,"no",0,0,202,102,243.2,128,261.3,90,10.9,3,1,0,1,706.5,0.015428167,0.2859164897,0.36985138,0
"169",94,"no",1,38,170.1,124,193.3,116,105.9,73,12.8,4,1,0,1,469.3,0.0272746644,0.3624547198,0.2256552312,0
"170",32,"no",0,0,230.9,87,187.4,90,154,53,6.3,2,0,0,0,572.3,0.0110082125,0.4034597239,0.2690896383,0
"171",68,"no",0,0,237.1,105,223.5,105,97.4,79,13.2,2,1,0,1,558,0.023655914,0.4249103943,0.1745519713,0
"172",64,"no",1,27,182.1,91,169.7,98,164.7,86,10.6,5,2,0,2,516.5,0.0205227493,0.3525653437,0.3188770571,0
"173",25,"no",0,0,119.3,87,211.5,101,268.9,86,10.5,4,3,0,3,599.7,0.0175087544,0.1989327997,0.4483908621,0
"174",65,"no",0,0,116.8,87,178.9,93,182.4,150,14.1,2,1,0,1,478.1,0.0294917381,0.2443003556,0.3815101443,0
"175",179,"no",0,0,219.2,92,149.4,125,244.7,104,6.1,5,0,0,0,613.3,0.0099461927,0.3574107288,0.3989890755,0
"176",94,"no",0,0,252.6,104,169,125,170.9,106,11.1,7,2,0,2,592.5,0.0187341772,0.4263291139,0.2884388186,0
"177",62,"no",0,0,147.1,91,190.4,107,195.2,115,12.2,3,0,0,0,532.7,0.0229021964,0.2761404167,0.3664351417,0
"178",127,"no",0,0,202.1,103,229.4,86,195.2,113,11.5,3,2,0,2,626.7,0.0183500878,0.3224828467,0.311472794,0
"179",116,"no",0,0,173.5,93,194.1,76,208,112,16.2,10,3,0,3,575.6,0.0281445448,0.3014246004,0.361362057,0
"180",70,"no",0,0,232.1,122,292.3,112,201.2,112,0,0,3,0,3,725.6,0,0.3198732084,0.2772877619,0
"181",94,"yes",1,23,197.1,125,214.5,136,282.2,103,9.5,5,4,0,4,693.8,0.0136927068,0.2840876333,0.4067454598,1
"182",126,"no",0,0,58.2,94,138.7,118,136.8,91,11.9,1,5,1,5,333.7,0.0356607731,0.174408151,0.409949056,0
"183",67,"no",1,36,115.6,111,237.7,94,169.9,103,9.9,12,2,0,2,523.2,0.0189220183,0.2209480122,0.3247324159,0
"184",19,"no",0,0,186.1,98,254.3,57,214,127,14.6,7,2,0,2,654.4,0.0223105134,0.2843826406,0.3270171149,0
"185",170,"yes",0,0,259.9,68,245,122,134.4,121,8.4,3,3,0,3,639.3,0.0131393712,0.4065384014,0.210229939,1
"186",73,"no",0,0,214.3,145,268.5,135,241.2,92,10.8,13,1,0,1,724,0.0149171271,0.2959944751,0.3331491713,0
"187",106,"no",0,0,158.7,74,64.3,139,198.5,103,10.2,4,1,0,1,421.5,0.0241992883,0.3765124555,0.4709371293,0
"188",93,"no",0,0,271.6,71,229.4,108,77.3,121,10.9,3,2,0,2,578.3,0.0188483486,0.4696524295,0.1336676466,0
"189",164,"no",0,0,160.6,111,163.2,126,187.1,112,9,3,1,0,1,510.9,0.0176159718,0.3143472304,0.3662164807,0
"190",51,"no",0,0,232.4,109,187.4,95,231.2,107,9.1,3,1,0,1,651,0.0139784946,0.3569892473,0.3551459293,0
"191",107,"no",0,0,133.8,85,180.5,94,112.2,115,8.9,4,0,0,0,426.5,0.0208675264,0.3137162954,0.2630715123,0
"192",130,"no",0,0,176.9,109,90.7,104,238,69,9.5,2,1,0,1,505.6,0.018789557,0.3498813291,0.4707278481,0
"193",80,"no",0,0,209.9,74,195.1,77,208.2,119,8.8,4,2,0,2,613.2,0.0143509459,0.3423026745,0.3395303327,0
"194",94,"no",0,0,137.5,118,203.2,88,150,131,13.4,2,0,0,0,490.7,0.0273079275,0.2802119421,0.305685755,0
"195",118,"no",1,23,289.5,52,166.6,111,119.1,88,9.5,4,1,0,1,575.2,0.0165159944,0.5033031989,0.2070584145,0
"196",117,"no",1,23,198.1,86,177,86,180.5,92,6.8,6,1,0,1,555.6,0.0122390209,0.3565514759,0.3248740101,0
"197",78,"no",0,0,149.7,119,182.2,115,261.5,126,9.7,8,0,0,0,593.4,0.0163464779,0.2522750253,0.4406808224,0
"198",208,"no",0,0,326.5,67,176.3,113,181.7,102,10.7,6,2,1,2,684.5,0.0156318481,0.476990504,0.265449233,0
"199",131,"yes",1,26,292.9,101,199.7,97,255.3,127,13.8,7,4,1,4,747.9,0.0184516647,0.391629897,0.3413557962,1
"200",63,"no",0,0,83,64,177,106,245.7,89,13,3,0,0,0,505.7,0.0257069409,0.1641289302,0.4858611825,0
"201",53,"no",1,24,145.7,146,220.5,136,249.9,96,13.1,5,3,0,3,616.1,0.021262782,0.2364875832,0.4056159714,0
"202",62,"no",0,0,182.3,101,328.2,93,245,131,11.2,1,2,0,2,755.5,0.0148246195,0.2412971542,0.3242885506,0
