Web Search interest: grindr
United States; Past 12 months

Interest over time
Week,grindr
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for grindr
City,grindr
New York,100
Los Angeles,92
Washington,92
San Francisco,91
Boston,86
Philadelphia,81
Austin,79
New Orleans,78
Chicago,77
San Diego,71
Portland,68
Nashville,67
Seattle,66
Atlanta,63
Phoenix,62



Top searches for grindr
grindr app,100
tinder,80
tinder grindr,80
straight grindr,70
tumblr grindr,65
what is grindr,45
grindr for straight,40
grindr guys,30
grindr xtra,25
delete grindr,20
online grindr,20
grindr android,20
blendr,20
grindr hookup,20
grindr account,20
new grindr,20
scruff,20
tinder app,15
grindr chat,15
grindr download,15
grindr for girls,15
lesbian grindr,15
apps like grindr,10
grindr messages,10
straight grindr app,10
delete grindr account,10
grindr for women,10
tindr,10
grindr pics,10
jackd,10
grindr review,10
grindr guys tumblr,10
douchebags of grindr,5



Rising searches for grindr
tinder,+800%
tinder grindr,+750%
tindr,+500%
tinder app,+450%
grindr account,+60%
grindr hookup,+60%
delete grindr account,+50%
grindr messages,+50%
what is grindr,+50%



